Identifier,State,Year,PublicFunding_Citation,PublicFunding_H,PublicFunding_H_type,PublicFunding_H_explain,Public Funding_H_Qualifying,PublicFunding_H_SpendLimit,PublicFunding_H_SpendLimit_Amount,PublicFunding_H_OtherConditions,PublicFunding_H_OtherConditions_Explained,PublicFunding_H_Trigger,PublicFunding_H_TriggerExplained,PublicFunding_H_Max,PublicFunding_H_Solicitation-by-Cand_Party,PublicFunding_H_Solicitation-by-Cand_Non-Party,PublicFunding_S,PublicFunding_S_type,PublicFunding_S_explain,Public Funding_S_Qualifying,PublicFunding_S_SpendLimit,PublicFunding_S_SpendLimit_Amount,PublicFunding_S_OtherConditions,PublicFunding_S_OtherConditions_Explained,PublicFunding_S_Trigger,PublicFunding_S_TriggerExplained,PublicFunding_S_Max,PublicFunding_S_Solicitation-by-Cand_Party,PublicFunding_S_Solicitation-by-Cand_Non-Party,PublicFunding_G,PublicFunding_G_type,PublicFunding_G_explain,Public Funding_G_Qualifying,PublicFunding_G_SpendLimit,PublicFunding_G_SpendLimit_Amount,PublicFunding_G_OtherConditions,PublicFunding_G_OtherConditions_Explained,PublicFunding_G_Trigger,PublicFunding_G_TriggerExplained,PublicFunding_G_Max,PublicFunding_G_Solicitation-by-Cand_Party,PublicFunding_G_Solicitation-by-Cand_Non-Party,PublicFunding_P,PublicFunding_P_Eligibility,PublicFunding_P_Formula,PublicFunding_P_TwoYrMax,SurchargePF,TaxCheckoffPF,DonatedPF,FilingRegFeesPF,FinesPF,GrantPF,UnexpendedPF,OtherPF,OtherPFExplain,SourcesofFunds,SpendingLimits_Other,SpendingLimits_Other_Explained
"WI2000","WI",2000,"11.31(1); 11.50(1)(a),(2)(b),(9);","Yes","Partial Grant",,"Candidate must receive at least 6% of the primary vote and receive individual contributions of $100 or less aggregating more than 10% of disbursement limitation.","Yes","$ 17,250","Yes","Aggregate contributions from committees are limited to a percentage of the expenditure limit. See 11.26 (9); Candidate contributions are limited, see 11.26(10)","No",,"$7,762.50 (45% of spending limit)","No","No","Yes","Partial Grant",,"Candidate must receive at least 6% of the vote in the primary election and receive contributions of $100 or less aggregating more than 10% of disbursement limitation.","Yes","$ 34,500","Yes","Aggregate contributions from committees are limited to a percentage of the expenditure limit. See 11.26 (9); Candidate contributions are limited, see 11.26(10)","No",,"$15,525.00 (45% of spending limit)","No","No","Yes","Partial Grant",,"Candidate must receive at least 6% of the vote in the primary election and receive contributions of $100 or less aggregating more than 10% of disbursement limitation.","Yes","$ 1,078,200","Yes","Aggregate contributions from committees are limited to a percentage of the expenditure limit. See 11.26 (9); Candidate contributions are limited, see 11.26(10)","No",,"$485,190.00 (45% of spending limit)","No","No","No",,,,,"WI",,,,,,,,"71.10(3) - Campaign fund. (a) Every individual filing an income tax return who has a tax liability or is entitled to a tax refund may designate $ 1 for the Wisconsin election campaign fund for the use of eligible candidates under s. 11.50. If the individuals filing a joint return have a tax liability or are entitled to a tax refund, each individual may make a designation of $ 1 under this subsection.",,
"WI2002","WI",2002,"11.31(1); 11.50(1)(a),(2)(b),(9);","Yes","Partial Grant",,"Candidate must receive at least 6% of the primary vote and receive individual contributions of $100 or less aggregating more than 10% of disbursement limitation.","Yes","$ 17,250","Yes","Aggregate contributions from committees are limited to a percentage of the expenditure limit. See 11.26 (9); Candidate contributions are limited, see 11.26(10)","No",,"$7,762.50 (45% of spending limit)","No","No","Yes","Partial Grant",,"Candidate must receive at least 6% of the vote in the primary election and receive contributions of $100 or less aggregating more than 10% of disbursement limitation.","Yes","$ 34,500","Yes","Aggregate contributions from committees are limited to a percentage of the expenditure limit. See 11.26 (9); Candidate contributions are limited, see 11.26(10)","No",,"$15,525.00 (45% of spending limit)","No","No","Yes","Partial Grant",,"Candidate must receive at least 6% of the vote in the primary election and receive contributions of $100 or less aggregating more than 10% of disbursement limitation.","Yes","$ 1,078,200","Yes","Aggregate contributions from committees are limited to a percentage of the expenditure limit. See 11.26 (9); Candidate contributions are limited, see 11.26(10)","No",,"$485,190.00 (45% of spending limit)","No","No","No",,,,,"WI",,,,,,,,"71.10(3) - Campaign fund. (a) Every individual filing an income tax return who has a tax liability or is entitled to a tax refund may designate $ 1 for the Wisconsin election campaign fund for the use of eligible candidates under s. 11.50. If the individuals filing a joint return have a tax liability or are entitled to a tax refund, each individual may make a designation of $ 1 under this subsection.",,
"WI2004","WI",2004,"11.31(1); 11.50(1)(a),(2)(b),(9);","Yes","Partial Grant",,"Candidate must receive at least 6% of the primary vote and receive individual contributions of $100 or less aggregating more than 10% of disbursement limitation.","Yes","$ 17,250","Yes","Aggregate contributions from committees are limited to a percentage of the expenditure limit. See 11.26 (9); Candidate contributions are limited, see 11.26(10)","No","It appears under 11.26(9m) that if a candidate exceeds spending limits, spending limits for all opponents is doubled, allowing them to raise a dditional funds, but there is no indication that an additional public grant would be available.","$7,762.50 (45% of spending limit)","No","No","Yes","Partial Grant",,"Candidate must receive at least 6% of the vote in the primary election and receive contributions of $100 or less aggregating more than 10% of disbursement limitation.","Yes","$ 34,500","Yes","Aggregate contributions from committees are limited to a percentage of the expenditure limit. See 11.26 (9); Candidate contributions are limited, see 11.26(10)","No","It appears under 11.26(9m) that if a candidate exceeds spending limits, spending limits for all opponents is doubled, allowing them to raise a dditional funds, but there is no indication that an additional public grant would be available.","$15,525.00 (45% of spending limit)","No","No","Yes","Partial Grant",,"Candidate must receive at least 6% of the vote in the primary election and receive contributions of $100 or less aggregating more than 10% of disbursement limitation.","Yes","$ 1,078,200","Yes","Aggregate contributions from committees are limited to a percentage of the expenditure limit. See 11.26 (9); Candidate contributions are limited, see 11.26(10)","No","It appears under 11.26(9m) that if a candidate exceeds spending limits, spending limits for all opponents is doubled, allowing them to raise a dditional funds, but there is no indication that an additional public grant would be available.","$485,190.00 (45% of spending limit)","No","No","No",,,,,"WI",,,,,,,,"71.10(3) - Campaign fund. (a) Every individual filing an income tax return who has a tax liability or is entitled to a tax refund may designate $ 1 for the Wisconsin election campaign fund for the use of eligible candidates under s. 11.50. If the individuals filing a joint return have a tax liability or are entitled to a tax refund, each individual may make a designation of $ 1 under this subsection.",,
"WI2006","WI",2006,"11.31(1); 11.50(1)(a),(2)(b),(9);","Yes","Partial Grant",,"Candidate must receive at least 6% of the primary vote and receive individual contributions of $100 or less aggregating more than 10% of disbursement limitation.","Yes","$ 17,250","Yes","Aggregate contributions from committees are limited to a percentage of the expenditure limit. See 11.26 (9); Candidate contributions are limited, see 11.26(10)","No","It appears under 11.26(9m) that if a candidate exceeds spending limits, spending limits for all opponents is doubled, allowing them to raise a dditional funds, but there is no indication that an additional public grant would be available.","$7,762.50 (45% of spending limit)","No","No","Yes","Partial Grant",,"Candidate must receive at least 6% of the vote in the primary election and receive contributions of $100 or less aggregating more than 10% of disbursement limitation.","Yes","$ 34,500","Yes","Aggregate contributions from committees are limited to a percentage of the expenditure limit. See 11.26 (9); Candidate contributions are limited, see 11.26(10)","No","It appears under 11.26(9m) that if a candidate exceeds spending limits, spending limits for all opponents is doubled, allowing them to raise a dditional funds, but there is no indication that an additional public grant would be available.","$15,525.00 (45% of spending limit)","No","No","Yes","Partial Grant",,"Candidate must receive at least 6% of the vote in the primary election and receive contributions of $100 or less aggregating more than 10% of disbursement limitation.","Yes","$ 1,078,200","Yes","Aggregate contributions from committees are limited to a percentage of the expenditure limit. See 11.26 (9); Candidate contributions are limited, see 11.26(10)","No","It appears under 11.26(9m) that if a candidate exceeds spending limits, spending limits for all opponents is doubled, allowing them to raise a dditional funds, but there is no indication that an additional public grant would be available.","$485,190.00 (45% of spending limit)","No","No","No",,,,,"WI",,,,,,,,"71.10(3) - Campaign fund. (a) Every individual filing an income tax return who has a tax liability or is entitled to a tax refund may designate $ 1 for the Wisconsin election campaign fund for the use of eligible candidates under s. 11.50. If the individuals filing a joint return have a tax liability or are entitled to a tax refund, each individual may make a designation of $ 1 under this subsection.",,
"WI2008","WI",2008,"11.31(1); 11.50(1)(a),(2)(b),(9);","Yes","Partial Grant",,"Candidate must receive at least 6% of the primary vote and receive individual contributions of $100 or less aggregating more than 10% of disbursement limitation.","Yes","$ 17,250","Yes","Aggregate contributions from committees are limited to a percentage of the expenditure limit. See 11.26 (9); Candidate contributions are limited, see 11.26(10)","No","It appears under 11.26(9m) that if a candidate exceeds spending limits, spending limits for all opponents is doubled, allowing them to raise a dditional funds, but there is no indication that an additional public grant would be available.","$7,762.50 (45% of spending limit)","No","No","Yes","Partial Grant",,"Candidate must receive at least 6% of the vote in the primary election and receive contributions of $100 or less aggregating more than 10% of disbursement limitation.","Yes","$ 34,500","Yes","Aggregate contributions from committees are limited to a percentage of the expenditure limit. See 11.26 (9); Candidate contributions are limited, see 11.26(10)","No","It appears under 11.26(9m) that if a candidate exceeds spending limits, spending limits for all opponents is doubled, allowing them to raise a dditional funds, but there is no indication that an additional public grant would be available.","$15,525.00 (45% of spending limit)","No","No","Yes","Partial Grant",,"Candidate must receive at least 6% of the vote in the primary election and receive contributions of $100 or less aggregating more than 10% of disbursement limitation.","Yes","$ 1,078,200","Yes","Aggregate contributions from committees are limited to a percentage of the expenditure limit. See 11.26 (9); Candidate contributions are limited, see 11.26(10)","No","It appears under 11.26(9m) that if a candidate exceeds spending limits, spending limits for all opponents is doubled, allowing them to raise a dditional funds, but there is no indication that an additional public grant would be available.","$485,190.00 (45% of spending limit)","No","No","No",,,,,"WI",,,,,,,,"71.10(3) - Campaign fund. (a) Every individual filing an income tax return who has a tax liability or is entitled to a tax refund may designate $ 1 for the Wisconsin election campaign fund for the use of eligible candidates under s. 11.50. If the individuals filing a joint return have a tax liability or are entitled to a tax refund, each individual may make a designation of $ 1 under this subsection.",,
"WI2010","WI",2010,"11.31(1); 11.50(1)(a),(2)(b),(9);","Yes","Partial Grant",,"Candidate must receive at least 6% of the primary vote and receive individual contributions of $100 or less aggregating more than 10% of disbursement limitation.","Yes","$ 17,250","Yes","Aggregate contributions from committees are limited to a percentage of the expenditure limit. See 11.26 (9); Candidate contributions are limited, see 11.26(10)","Yes","11.513(2) When the aggregate independent disbursements made or obligated to be made by a person against an eligible candidate for an office or for the opponents of that candidate exceed 120 percent of the public financing benefit for that office in the primary election campaign period or the election campaign period, the board shall immediately certify to the state treasurer the name of that candidate together with the amount of a supplemental grant that shall become payable to that candidate. The supplemental grant shall be equivalent to the aggregate independent disbursements exceeding the applicable public financing benefit made or obligated to be made by a person, but not to exceed, exclusive of any amount to which a candidate is entitled under s. 11.512 (2), an amount equal to 3 times the public financing benefit payable to a candidate for the applicable office at the primary or other election for which the benefit is received. The state treasurer shall then immediately credit that candidate with an additional line of credit for the amount certified.","$7,762.50 (45% of spending limit)","No","No","Yes","Partial Grant",,"Candidate must receive at least 6% of the vote in the primary election and receive contributions of $100 or less aggregating more than 10% of disbursement limitation.","Yes","$ 34,500","Yes","Aggregate contributions from committees are limited to a percentage of the expenditure limit. See 11.26 (9); Candidate contributions are limited, see 11.26(10)","Yes","11.513(2) When the aggregate independent disbursements made or obligated to be made by a person against an eligible candidate for an office or for the opponents of that candidate exceed 120 percent of the public financing benefit for that office in the primary election campaign period or the election campaign period, the board shall immediately certify to the state treasurer the name of that candidate together with the amount of a supplemental grant that shall become payable to that candidate. The supplemental grant shall be equivalent to the aggregate independent disbursements exceeding the applicable public financing benefit made or obligated to be made by a person, but not to exceed, exclusive of any amount to which a candidate is entitled under s. 11.512 (2), an amount equal to 3 times the public financing benefit payable to a candidate for the applicable office at the primary or other election for which the benefit is received. The state treasurer shall then immediately credit that candidate with an additional line of credit for the amount certified.","$15,525.00 (45% of spending limit)","No","No","Yes","Partial Grant",,"Candidate must receive at least 6% of the vote in the primary election and receive contributions of $100 or less aggregating more than 10% of disbursement limitation.","Yes","$ 1,078,200","Yes","Aggregate contributions from committees are limited to a percentage of the expenditure limit. See 11.26 (9); Candidate contributions are limited, see 11.26(10)","Yes","11.513(2) When the aggregate independent disbursements made or obligated to be made by a person against an eligible candidate for an office or for the opponents of that candidate exceed 120 percent of the public financing benefit for that office in the primary election campaign period or the election campaign period, the board shall immediately certify to the state treasurer the name of that candidate together with the amount of a supplemental grant that shall become payable to that candidate. The supplemental grant shall be equivalent to the aggregate independent disbursements exceeding the applicable public financing benefit made or obligated to be made by a person, but not to exceed, exclusive of any amount to which a candidate is entitled under s. 11.512 (2), an amount equal to 3 times the public financing benefit payable to a candidate for the applicable office at the primary or other election for which the benefit is received. The state treasurer shall then immediately credit that candidate with an additional line of credit for the amount certified.","$485,190.00 (45% of spending limit)","No","No","No",,,,,"WI",,,,,,,,"71.10(3) - Campaign fund. (a) Every individual filing an income tax return who has a tax liability or is entitled to a tax refund may designate $ 1 for the Wisconsin election campaign fund for the use of eligible candidates under s. 11.50. If the individuals filing a joint return have a tax liability or are entitled to a tax refund, each individual may make a designation of $ 3 under this subsection.",,
"WI2012","WI",2012,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"WI",,,,,,,,,,
"WI2014","WI",2014,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"WI",,,,,,,,,,
"WI2016","WI",2016,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"WI2018","WI",2018,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"WI",,,,,,,,,,
"WV1996","WV",1996,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"WV1998","WV",1998,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"WV",,,,,,,,,,
"WV2000","WV",2000,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"WV",,,,,,,,,,
"WV2002","WV",2002,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"WV",,,,,,,,,,
"WV2004","WV",2004,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"WV",,,,,,,,,,
"WV2006","WV",2006,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"WV",,,,,,,,,,
"WV2008","WV",2008,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"WV",,,,,,,,,,
"WV2010","WV",2010,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"WV",,,,,,,,,,
"WV2012","WV",2012,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"WV",,,,,,,,,,
"WV2014","WV",2014,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"WV",,,,,,,,,,
